characteristic,value
Microcontroller,RP2350A dual-core microcontroller
Storage,"External QSPI Flash (W25Q32JV, 32 Mbit)"
Power Input,24 V DC nominal
Input Protection,"1 A fuse, reverse polarity diode, TVS surge suppression, EMI filtering"
Main Logic Supply,"Buck regulator 24 V → 5 V, 3.3 V LDO regulator"
File system,LittleFS persistent configuration storage
Document revision,DS-ALM-173-R1 Rev. B · 2026-09 · Hardware R1 (V1.0)
Digital Inputs,"17 × opto-isolated digital inputs, 5 V DC discrete inputs"
Max Input Voltage,5 V DC continuous; input isolation 5.3 kVrms (SFH6156 optocoupler test voltage)
Relay outputs,3 × SPDT (NO / C / NC); 3 A @ 250 VAC per contact (module limit)
Isolated +12 V Output,"12 V isolated rail, 2 W; max 167 mA theoretical (≤150 mA recommended)"
Isolated +5 V Output,"5 V isolated rail, 1 W; max 200 mA theoretical (≤150 mA recommended)"
User Interface,"4 buttons; 27 LEDs: PWR, TX, RX; 4 user LEDs; 17 input LEDs (I1–I17); 3 relay LEDs (O.1–O.3)"
RS-485,"half-duplex Modbus RTU, not galvanically isolated"
USB,"USB-C, 5 V logic, ESD protected"
Modbus defaults,"Address 3, 19200 baud, 8N1"
Operating temperature,0 °C to +40 °C
Storage temperature,−10 °C to +55 °C
Relative humidity,"0–90 % RH, non-condensing"
Ingress protection,IP20 (inside cabinet only)
Installation,Indoor control cabinet only; not for outdoor or exposed installation
Maximum altitude,2000 m
Pollution degree,2
Dimensions,158 × 90.6 × 67.3 mm (L × W × H)
DIN width,9 modules (≈ 158 mm)
Mounting,35 mm DIN rail
Enclosure,PC/ABS industrial enclosure
Terminal type,"Pluggable screw terminal blocks, 5.08 mm pitch"
Wire cross-section,0.2–2.5 mm² (AWG 24–12)
Tightening torque,0.4–0.6 Nm
Net weight,200 g
Gross weight,330 g
Pack size,230 × 140 × 87 mm (L × W × H)
