characteristic,value
Microcontroller,RP2350A dual-core microcontroller
Storage,External QSPI Flash (W25Q32JV)
Power Input,24 V DC nominal
File system,LittleFS persistent configuration storage
Document revision,DS-DIO-430-R1 Rev. B · 2026-09 · Hardware R1 (V1.0)
Digital Inputs,"4 × IEC 61131-2 compliant 24 V digital inputs (ISO1212 front-end) (DIx + GNDx), dry-contact (module-wetted); per-channel PTC fuse, TVS surge suppression, reverse-polarity protection, EMI filtering"
Relay outputs,3 × SPDT (NO / C / NC); 3 A @ 250 VAC per contact (module limit)
User Interface,"3 buttons (2 user-configurable), 13 LEDs (power, 3 user, RX, TX, 3× relay, 4× DI)"
RS-485,"half-duplex Modbus RTU, not galvanically isolated"
USB,"USB-C (ESD protected, configuration and firmware upload)"
Modbus defaults,"Address 3, 19200 baud, 8N1"
Operating temperature,0 °C to +40 °C
Storage temperature,−10 °C to +55 °C
Relative humidity,"0–90 % RH, non-condensing"
Ingress protection,IP20 (inside cabinet only)
Installation,Indoor control cabinet only; not for outdoor or exposed installation
Maximum altitude,2000 m
Pollution degree,2
Dimensions,70 × 90.6 × 67.3 mm (L × W × H)
DIN width,4 modules (≈ 70 mm)
Mounting,35 mm DIN rail
Enclosure,PC/ABS industrial enclosure
Terminal type,"Pluggable screw terminal blocks, 5.08 mm pitch"
Wire cross-section,0.2–2.5 mm² (AWG 24–12)
Tightening torque,0.4–0.6 Nm
Net weight,TBD
Gross weight,TBD
Pack size,140 × 125 × 94 mm (L × W × H)
