characteristic,value
Microcontroller,RP2350A dual-core microcontroller
Storage,External QSPI Flash (32 Mbit)
Power Input,24 V DC nominal
Input Protection (24 V logic),"1 A fuse, reverse polarity diode (STPS340U), TVS surge suppression, EMI filtering"
LED PS input protection,10 A fuse; ideal-diode reverse-polarity stage (LM74610 controller + N-channel MOSFET); TVS surge suppression
Main Logic Supply,"Buck regulator 24 V → 5 V, 3.3 V LDO regulator"
Document revision,DS-RGB-621-R1 Rev. B · 2026-09 · Hardware R1 (V1.0)
LED Outputs,"5 × low-side MOSFET outputs (AP9990GH-HF: R, G, B, CW, WW)"
LED Output Voltage,External 12–24 V DC supply
Maximum Total LED Current,"10 A, shared across all channels in use (10 A fuse on LED PS input)"
Any single PWM channel,10 A — same shared budget as the module; no per-channel ceiling below 10 A
Relay outputs,"1 × relay, NO and C only (SPST-NO); 3 A @ 250 VAC (module limit)"
Digital Inputs,"2 × IEC 61131-2 compliant 24 V digital inputs (ISO1212 front-end), galvanically isolated digital-input receiver, dry-contact (module-wetted); per-channel PTC fuse, TVS, reverse-polarity protection"
User Interface,"2 buttons, 8 LEDs (power, 2 user, RX, TX, 1× relay, 2× DI)"
RS-485,"half-duplex Modbus RTU, not galvanically isolated"
USB,"USB-C, 5 V logic, ESD protected"
Typical Power Consumption,1.85 W typical / 3.0 W maximum (no LED load)
Modbus defaults,"Address 3, 19200 baud, 8N1"
Operating temperature,0 °C to +40 °C
Storage temperature,−10 °C to +55 °C
Relative humidity,"0–90 % RH, non-condensing"
Ingress protection,IP20 (inside cabinet only)
Installation,Indoor control cabinet only; not for outdoor or exposed installation
Maximum altitude,2000 m
Pollution degree,2
Dimensions,52.5 × 90.6 × 67.3 mm (L × W × H)
DIN width,3 modules (≈ 52.5 mm)
Mounting,35 mm DIN rail
Enclosure,PC/ABS industrial enclosure
Terminal type,"Pluggable screw terminal blocks DB129V-5.08 / DB129R-5.08, 5.08 mm pitch"
Wire cross-section,0.2–2.5 mm² (AWG 24–12)
Tightening torque,0.4–0.6 Nm
Net weight,TBD
Gross weight,TBD
Pack size,140 × 125 × 94 mm (L × W × H)
