characteristic,value
Specification Details Microcontroller,RP2350A dual-core microcontroller
Flash memory,"External QSPI flash (W25Q32JV, 32 Mbit)"
Power input,"24 V DC nominal (V+ / 0V). Input protection: 1 A time-lag fuse, reverse-polarity diode, TVS, EMI filtering"
Module power,Typical 3 W (logic + RS-485 + USB-C); maximum 5 W (both relays on + isolated +12 V ISO and +5 V ISO rails loaded + all 5 DI active + RS-485 traffic)
Main logic supplies,Buck 24 V → ~5 V; 3.3 V LDO
Digital inputs,5 × isolated 5 V DC inputs (I1–I5 + GND_ISO); per-input mode: water sensor / soil moisture / water counter. Max input voltage 5 V DC continuous.
Pulse counting (counter mode),"Any of the 5 inputs. Rising-edge count, 20 ms firmware debounce, ~9–10 Hz max. Pulses per litre configurable (default 450) plus Rate× / Total× calibration. Flow rate L/min and total L on Modbus (HREG 104–113, 114–123, ×1000 UINT32); reset via WebConfig or coils 340–344."
1-Wire temperature,"1 × protected bus (+5 V, DATA, GND) for DS18B20; up to 10 sensors on Modbus (HREG 154–173, °C×1000)."
Heat metering (per counter input),"Computed on the module from flow × ΔT of two 1-Wire sensors: power W (HREG 124–133), energy Wh×1000 (134–143), ΔT °C×1000 (144–153). Indicative only, not MID-certified."
Relay outputs,"2 × SPDT dry-contact relays. Rated load (system limit): 3 A @ 250 V AC (resistive); max 750 VA @ 250 V AC, 90 W @ 30 V DC. Relay components (informative only) may be rated higher; that rating does not apply to the complete module. Relay outputs are not internally fused."
Isolated outputs,"+12 V ISO: 12 V isolated rail, 2 W; ≤150 mA recommended (≤167 mA theoretical). +5 V ISO: 5 V isolated rail, 1 W; ≤150 mA recommended (≤200 mA theoretical). For low-power sensors only — not for actuators"
User interface,"4 buttons; 9 LEDs (power, 4 user, RX, TX, relay 1, relay 2)"
Communication,"RS-485 Modbus RTU (MAX485, half-duplex), non-isolated; TVS surge protection, PTC fuses, common-mode choke, fail-safe biasing"
USB,"USB-C, 5 V logic, ESD protected — configuration and firmware"
Storage,LittleFS persistent configuration
Modbus address,1–247 (default: 3)
Modbus baud rate,"9600–115200 (default: 19200), 8N1"
Category Specification Details Terminal specifications,"Terminal type Pluggable screw terminal blocks, 5.08 mm pitch"
Environmental ratings,Operating temperature 0 °C to +40 °C
Mechanical &amp; packaging,Product dimensions 70 × 90.6 × 67.3 mm (L × W × H)
File Description Link Field board schematic,"Inputs, 1-Wire, isolated sensor rails WLD-521-R1-FieldBoard.pdf"
MCU board schematic,"Controller, USB, RS-485, power conversion WLD-521-R1-MCUBoard.pdf"
